Name,Pos,Grade,Hometown,Year
A.J. Jordan,WR,Sophomore,"Dayton, Ohio",2013
Joel Stave,QB,Sophomore,"Greenfield, Wis.",2013
Kenzel Doe,WR,Junior,"Reidsville, N.C.",2013
Jared Abbrederis,WR,Senior,"Wautoma, Wis.",2013
Darius Hillary,CB,Sophomore,"Cincinnati, Ohio",2013
Corey Clement,RB,Freshman,"Glassboro, N.J.",2013
Alec James,OLB,Freshman,"Brookfield, Wis.",2013
Brett Arnold,WR,Senior,"Sherwood, Wis.",2013
Michael Caputo,S,Sophomore,"Imperial, Pa.",2013
Sojourn Shelton,CB,Freshman,"Fort Lauderdale, Fla.",2013
T.J. Watt,TE,Freshman,"Pewaukee, Wis.",2013
Jordan Fredrick,WR,Sophomore,"Madison, Wis.",2013
Devin Gaulden,CB,Junior,"Miramar, Fla.",2013
Curt Phillips,QB,Senior,"Kingsport, Tenn.",2013
Jazz Peavy,WR,Freshman,"Kenosha, Wis.",2013
T.J. Reynard,CB,Sophomore,"Virginia Beach, Va.",2013
Thad Armstrong,QB,Freshman,"Ottawa, Ill.",2013
Dezmen Southward,S,Senior,"Sunrise, Fla.",2013
Bart Houston,QB,Freshman,"Dublin, Calif.",2013
Conor O’Neill,ILB,Senior,"Delray Beach, Fla.",2013
Nate Hammon,S,Freshman,"Milton, Wis.",2013
Connor Senger,QB,Freshman,"Milwaukee, Wis.",2013
Jeff Duckworth,WR,Senior,"Cincinnati, Ohio",2013
Joe Ferguson,S,Freshman,"Madison, Wis.",2013
Reggie Love,WR,Sophomore,"Boynton Beach, Fla.",2013
Sherard Cadogan,OLB,Junior,"Washington Township, N.J.",2013
Tanner McEvoy,S,Sophomore,"Hillsdale, N.J.",2013
Lance Baretz,WR,Sophomore,"Franklin, Wis.",2013
Dare Ogunbowale,CB,Freshman,"Milwaukee, Wis.",2013
Leo Musso,S,Freshman,"Waunakee, Wis.",2013
James White,RB,Senior,"Fort Lauderdale, Fla.",2013
Peniel Jean,CB,Junior,"West Palm Beach, Fla.",2013
Jeffrey Lewis,RB,Junior,"Brookfield, Wis.",2013
Jakarrie Washington,CB,Freshman,"Everett, Mass.",2013
Vonte Jackson,RB,Freshman,"Kenosha, Wis.",2013
Jerry Ponio,S,Senior,"Chicago, Ill.",2013
Keelon Brookins,S,Freshman,"St. Paul, Minn.",2013
Melvin Gordon,RB,Sophomore,"Kenosha, Wis.",2013
Matt Johnson,S,Freshman,"Cedarburg, Wis.",2013
Derek Straus,FB,Sophomore,"Waunakee, Wis.",2013
Kyle Zuleger,S,Senior,"Appleton, Wis.",2013
Matt Hubley,S,Freshman,"Waukesha, Wis.",2013
Terrance Floyd,CB,Sophomore,"Boynton Beach, Fla.",2013
Derek Landisch,ILB,Junior,"Nashotah, Wis.",2013
Austin Ramesh,FB,Freshman,"Land O’ Lakes, Wis.",2013
Connor Cummins,WR,Junior,"Kettering, Ohio",2013
Hugs Etienne,CB,Freshman,"Fort Lauderdale, Fla.",2013
Leon Jacobs,OLB,Freshman,"San Pedro, Calif.",2013
Chikwe Obasih,DE,Freshman,"Brookfield, Wis.",2013
Derek Watt,FB,Sophomore,"Pewaukee, Wis.",2013
Ethan Armstrong,OLB,Senior,"Ottawa, Ill.",2013
D.J. Spurling,FB,Freshman,"Slinger, Wis.",2013
Andrew Endicott,K,Freshman,"Roseville, Calif.",2013
Kevin MacCudden,FB,Sophomore,"Waukesha, Wis.",2013
Eric Steffes,TE,Freshman,"Mount Calvary, Wis.",2013
Brady Kelliher,LS,Freshman,"Hartland, Wis.",2013
Troy Fumagalli,TE,Freshman,"Aurora, Ill.",2013
Jesse Hayes,OLB,Sophomore,"Cincinnati, Ohio",2013
Alex Walker,TE,Freshman,"Glendale, Wis.",2013
Michael Trotter,S,Junior,"Racine, Wis.",2013
Chris Borland,ILB,Senior,"Kettering, Ohio",2013
Warren Herring,NG,Junior,"Fairview Heights, Ill.",2013
Austin Traylor,TE,Sophomore,"Columbus, Ohio",2013
Vince Biegel,OLB,Freshman,"Wisconsin Rapids, Wis.",2013
Jack Cichy,ILB,Freshman,"Somerset, Wis.",2013
Jacob Pedersen,TE,Senior,"Menominee, Mich.",2013
Sam Arneson,TE,Junior,"Merrill, Wis.",2013
Josh Harrison,OLB,Junior,"Huber Heights, Ohio",2013
Tyler Dippel,DE,Senior,"Slinger, Wis.",2013
Carl Miller,ILB,Freshman,"Northbrook, Ill.",2013
Kyle Costigan,OL,Junior,"Wind Lake, Wis.",2013
Jake Rademacher,ILB,Freshman,"Wales, Wis.",2013
Trent Denlinger,OL,Freshman,"Cuba City, Wis.",2013
Garret Dooley,ILB,Freshman,"Rochester, Ill.",2013
James McGuire,LS,Junior,"St. Paul, Minn.",2013
Ben Ruechel,ILB,Junior,"Oconto, Wis.",2013
Jacob Ninneman,OL,Junior,"Oregon, Wis.",2013
Joe Schobert,OLB,Sophomore,"Waukesha, Wis.",2013
Marcus Trotter,ILB,Junior,"Racine, Wis.",2013
Matt Miller,OL,Freshman,"Maumee, Ohio",2013
Connor Udelhoven,LS,Freshman,"St. Paul, Minn.",2013
Tyler Marz,OL,Sophomore,"Springfield, Minn.",2013
Walker Williams,OL,Freshman,"Tacoma, Wash.",2013
Chris Gill,OL,Senior,"Appleton, Wis.",2013
Dan Voltz,OL,Freshman,"Barrington, Ill.",2013
Ray Ball,OL,Sophomore,"Columbus, Ohio",2013
Ben Hemer,OL,Freshman,"Medford, Wis.",2013
Dallas Lewallen,OL,Junior,"Berlin, Wis.",2013
Hayden Biegel,OL,Freshman,"Wisconsin Rapids, Wis.",2013
Zac Matthias,OL,Senior,"Hemlock, Mich.",2013
Aidan McNamara,OL,Freshman,"Madison, Wis.",2013
Bryce Gilbert,NG,Junior,"Brookfield, Wis.",2013
Jackson Keeler,OL,Freshman,"Barrington, Ill.",2013
Rob Havenstein,OL,Junior,"Mount Airy, Md.",2013
Ryan Groy,OL,Senior,"Middleton, Wis.",2013
Brock DeCicco,TE,Senior,"Jefferson Hills, Pa.",2013
Jake Stengel,WR,Sophomore,"Sheboygan, Wis.",2013
Robert Wheelwright,WR,Freshman,"Columbus, Ohio",2013
Austin Maly,TE,Sophomore,"Waunakee, Wis.",2013
Brian Wozniak,TE,Senior,"Loveland, Ohio",2013
Alex Erickson,WR,Freshman,"Darlington, Wis.",2013
Ethan Hemer,DE,Senior,"Medford, Wis.",2013
Marquis Mason,WR,Junior,"Madison, Wis.",2013
Drew Meyer,P,Sophomore,"Hartland, Wis.",2013
Brett Nethery,P,Freshman,"Greendale, Wis.",2013
Konrad Zagzebski,DE,Junior,"Weston, Wis.",2013
Pat Muldoon,DE,Senior,"Mason, Ohio",2013
Jake Keefer,DE,Sophomore,"Woodville, Wis.",2013
Kyle French,K,Junior,"Menomonee Falls, Wis.",2013
Logan Schmidt,DE,Freshman,"Gotham, Wis.",2013
Arthur Goldberg,NG,Freshman,"Mount Lebanon, Pa.",2013
Beau Allen,NG,Senior,"Minnetonka, Minn.",2013
Brendan Kelly,OLB,Senior,"Eden Prairie, Minn.",2013
Jack Russell,K,Sophomore,"Waunakee, Wis.",2013
Stephen Salata,K,Sophomore,"Buffalo Grove, Ill.",2013
James Adeyanju,DE,Sophomore,"Chicago, Ill.",2013
A.J. Jordan,S,Junior,"Dayton, Ohio",2014
Joel Stave,QB,Junior,"Greenfield, Wis.",2014
Kenzel Doe,WR,Senior,"Reidsville, N.C.",2014
Devin Gaulden,CB,Junior,"Miramar, Fla.",2014
Darius Hillary,CB,Junior,"Cincinnati, Ohio",2014
Tanner McEvoy,QB,Junior,"Hillsdale, N.J.",2014
Corey Clement,RB,Sophomore,"Glassboro, N.J.",2014
Alec James,DE,Freshman,"Brookfield, Wis.",2014
Michael Caputo,S,Junior,"Imperial, Pa.",2014
D.J. Gillins,QB,Freshman,"Jacksonville, Fla.",2014
Sojourn Shelton,CB,Sophomore,"Fort Lauderdale, Fla.",2014
Jordan Fredrick,WR,Junior,"Madison, Wis.",2014
Rafael Gaglianone,K,Freshman,"Sao Paulo, Brazil",2014
Krenwick Sanders,WR,Freshman,"Jesup, Ga.",2014
Jazz Peavy,WR,Freshman,"Kenosha, Wis.",2014
T.J. Reynard,CB,Junior,"Virginia Beach, Va.",2014
Thad Armstrong,QB,Sophomore,"Ottawa, Ill.",2014
Natrell Jamerson,WR,Freshman,"Ocala, Fla.",2014
Evan Bondoc,S,Freshman,"Madison, Wis.",2014
Bart Houston,QB,Sophomore,"Dublin, Calif.",2014
D'Cota Dixon,CB,Freshman,"Oak Hill, Fla.",2014
Connor Senger,QB,Freshman,"Milwaukee, Wis.",2014
Robert Wheelwright,WR,Sophomore,"Columbus, Ohio",2014
Reggie Love,WR,Sophomore,"Boynton Beach, Fla.",2014
Sherard Cadogan,OLB,Senior,"Washington Township, N.J.",2014
George Rushing,WR,Freshman,"Miramar, Fla.",2014
Lance Baretz,WR,Senior,"Franklin, Wis.",2014
Ryan Connelly,OLB,Freshman,"Eden Prairie, Minn.",2014
Leo Musso,S,Sophomore,"Waunakee, Wis.",2014
Austin Ramesh,FB,Freshman,"Land O’ Lakes, Wis.",2014
Peniel Jean,S,Senior,"West Palm Beach, Fla.",2014
Mark Saari,RB,Freshman,"Montreal, Wis.",2014
Chasen Andersen,ILB,Freshman,"Logan, Utah",2014
Caleb Kinlaw,RB,Freshman,"Goose Creek, S.C.",2014
Dare Ogunbowale,RB,Sophomore,"Milwaukee, Wis.",2014
Daniel Supernaw,S,Freshman,"Delavan, Wis.",2014
Keelon Brookins,OLB,Freshman,"St. Paul, Minn.",2014
John Damrow,TE,Freshman,"Delavan, Wis.",2014
Melvin Gordon,RB,Junior,"Kenosha, Wis.",2014
Derrick Tindal,CB,Freshman,"Fort Lauderdale, Fla.",2014
Derek Straus,FB,Junior,"Waunakee, Wis.",2014
Austin Hudson,S,Freshman,"Tampa, Fla.",2014
Taiwan Deal,RB,Freshman,"Capitol Heights, Md.",2014
Terrance Floyd,CB,Junior,"Boynton Beach, Fla.",2014
Derek Landisch,ILB,Senior,"Nashotah, Wis.",2014
Connor Cummins,WR,Senior,"Kettering, Ohio",2014
Lubern Figaro,S,Freshman,"Everett, Mass.",2014
Leon Jacobs,ILB,Sophomore,"San Pedro, Calif.",2014
Chikwe Obasih,DE,Freshman,"Brookfield, Wis.",2014
Derek Watt,FB,Junior,"Pewaukee, Wis.",2014
Joe Ferguson,S,Freshman,"Madison, Wis.",2014
D.J. Spurling,FB,Freshman,"Slinger, Wis.",2014
Andrew Endicott,K,Sophomore,"Roseville, Calif.",2014
Zander Neuville,LB,Freshman,"Waupaca, Wis.",2014
P.J. Rosowski,P,Freshman,"Stoughton, Wis.",2014
Brady Kelliher,DE,Freshman,"Hartland, Wis.",2014
Jesse Hayes,OLB,Junior,"Cincinnati, Ohio",2014
T.J. Watt,TE,Freshman,"Pewaukee, Wis.",2014
Peter Roy,WR,Freshman,"Muskego, Wis.",2014
Michael Trotter,ILB,Senior,"Racine, Wis.",2014
Eric Steffes,TE,Sophomore,"Mount Calvary, Wis.",2014
Warren Herring,NG,Senior,"Fairview Heights, Ill.",2014
Matt Austin,OLB,Freshman,"Fond du Lac, Wis.",2014
Austin Traylor,TE,Junior,"Columbus, Ohio",2014
Vince Biegel,OLB,Sophomore,"Wisconsin Rapids, Wis.",2014
Jack Cichy,OLB,Sophomore,"Somerset, Wis.",2014
Troy Fumagalli,TE,Freshman,"Aurora, Ill.",2014
Sam Arneson,TE,Senior,"Merrill, Wis.",2014
Justin Schweitzer,ILB,Freshman,"Silver Lake, Wis.",2014
Josh Harrison,OLB,Senior,"Huber Heights, Ohio",2014
Ashfott Fonjungo,DL,Freshman,"Lanham, Md.",2014
Jacob Maxwell,OL,Freshman,"Greendale, Wis.",2014
T.J. Edwards,OLB,Freshman,"Lake Villa, Ill.",2014
Kyle Costigan,OL,Senior,"Wind Lake, Wis.",2014
Trent Denlinger,OL,Sophomore,"Cuba City, Wis.",2014
Garret Dooley,DE,Freshman,"Rochester, Ill.",2014
James McGuire,LS,Senior,"St. Paul, Minn.",2014
Ben Ruechel,ILB,Senior,"Oconto, Wis.",2014
George Panos,OL,Freshman,"Hartland, Wis.",2014
Joe Schobert,OLB,Junior,"Waukesha, Wis.",2014
Marcus Trotter,ILB,Senior,"Racine, Wis.",2014
Connor Udelhoven,LS,Sophomore,"St. Paul, Minn.",2014
Tyler Marz,OL,Junior,"Springfield, Minn.",2014
Walker Williams,OL,Sophomore,"Tacoma, Wash.",2014
Michael Deiter,OL,Freshman,"Curtice, Ohio",2014
Brett Connors,OL,Freshman,"New Berlin, Wis.",2014
Beau Benzschawel,OL,Freshman,"Grafton, Wis.",2014
Jaden Gault,OL,Freshman,"Cottage Grove, Wis.",2014
Aidan McNamara,OL,Freshman,"Madison, Wis.",2014
Dan Voltz,OL,Sophomore,"Barrington, Ill.",2014
Ray Ball,OL,Junior,"Columbus, Ohio",2014
Ben Hemer,OL,Freshman,"Medford, Wis.",2014
Dallas Lewallen,OL,Senior,"Berlin, Wis.",2014
Hayden Biegel,OL,Freshman,"Wisconsin Rapids, Wis.",2014
Micah Kapoi,OL,Freshman,"Kapolei, Hawaii",2014
Logan Schmidt,OL,Sophomore,"Gotham, Wis.",2014
Rob Havenstein,OL,Senior,"Mount Airy, Md.",2014
Nicholas Holicek,WR,Freshman,"New Berlin, Wis.",2014
Jake Stengel,WR,Junior,"Sheboygan, Wis.",2014
Austin Maly,TE,Junior,"Waunakee, Wis.",2014
Alex Erickson,WR,Junior,"Darlington, Wis.",2014
Sam Eckert,TE,Freshman,"East Troy, Wis.",2014
Drew Meyer,P,Junior,"Hartland, Wis.",2014
Konrad Zagzebski,DE,Senior,"Weston, Wis.",2014
Jeremy Patterson,NG,Freshman,"Screven, Ga.",2014
Jake Keefer,DE,Junior,"Woodville, Wis.",2014
Conor Sheehy,DE,Freshman,"Milwaukee, Wis.",2014
Arthur Goldberg,NG,Sophomore,"Mount Lebanon, Pa.",2014
Billy Hirschfeld,DE,Freshman,"Okauchee, Wis.",2014
Jack Russell,K,Junior,"Waunakee, Wis.",2014
James Adeyanju,DE,Junior,"Chicago, Ill.",2014
Joel Stave,QB,Redshirt Senior,"Greenfield, Wis.",2015
Tanner McEvoy,S,Redshirt Senior,"Hillsdale, N.J.",2015
Darius Hillary,CB,Redshirt Senior,"Cincinnati, Ohio",2015
Corey Clement,RB,Junior,"Glassboro, N.J.",2015
Michael Caputo,S,Redshirt Senior,"Imperial, Pa.",2015
D.J. Gillins,QB,Redshirt Freshman,"Jacksonville, Fla.",2015
Sojourn Shelton,CB,Junior,"Fort Lauderdale, Fla.",2015
Titus Booker,CB,Freshman,"Round Lake Beach, Ill.",2015
Jordan Fredrick,WR,Redshirt Senior,"Madison, Wis.",2015
Rafael Gaglianone,K,Sophomore,"Sao Paulo, Brazil",2015
Jazz Peavy,WR,Redshirt Sophomore,"Kenosha, Wis.",2015
T.J. Reynard,CB,Senior,"Virginia Beach, Va.",2015
Alex Hornibrook,QB,Freshman,"West Chester, Pa.",2015
Natrell Jamerson,CB,Sophomore,"Ocala, Fla.",2015
Evan Bondoc,S,Redshirt Freshman,"Madison, Wis.",2015
Bart Houston,QB,Redshirt Junior,"Dublin, Calif.",2015
Thad Armstrong,QB,Redshirt Junior,"Ottawa, Ill.",2015
D'Cota Dixon,S,Sophomore,"Oak Hill, Fla.",2015
Robert Wheelwright,WR,Junior,"Columbus, Ohio",2015
Reggie Love,WR,Redshirt Junior,"Boynton Beach, Fla.",2015
Leo Musso,S,Redshirt Junior,"Waunakee, Wis.",2015
Austin Ramesh,FB,Redshirt Sophomore,"Land O’ Lakes, Wis.",2015
Arrington Farrar,S,Freshman,"Atlanta, Ga.",2015
Mark Saari,RB,Redshirt Freshman,"Montreal, Wis.",2015
Caleb Kinlaw,RB,Redshirt Freshman,"Goose Creek, S.C.",2015
Dare Ogunbowale,RB,Redshirt Junior,"Milwaukee, Wis.",2015
Keelon Brookins,ILB,Redshirt Sophomore,"St. Paul, Minn.",2015
Ricky Finco,WR,Sophomore,"Hartland, Wis.",2015
Derrick Tindal,CB,Sophomore,"Fort Lauderdale, Fla.",2015
Derek Straus,FB,Redshirt Senior,"Waunakee, Wis.",2015
Elijah Strong,CB,Freshman,"Oak Creek, Wis.",2015
Bradrick Shaw,RB,Freshman,"Birmingham, Ala.",2015
Taiwan Deal,RB,Redshirt Freshman,"Capitol Heights, Md.",2015
Terrance Floyd,CB,Redshirt Senior,"Boynton Beach, Fla.",2015
Max Praschak,OLB,Freshman,"Somerset, Wis.",2015
Serge Trezy,RB,Redshirt Junior,"Orlando, Fla.",2015
Jake Whalen,OLB,Freshman,"Wausau, Wis.",2015
Lubern Figaro,S,Sophomore,"Everett, Mass.",2015
Leon Jacobs,ILB,Junior,"San Pedro, Calif.",2015
Chikwe Obasih,DE,Redshirt Sophomore,"Brookfield, Wis.",2015
Derek Watt,FB,Redshirt Senior,"Pewaukee, Wis.",2015
Joe Ferguson,S,Redshirt Sophomore,"Madison, Wis.",2015
Troy Laufenberg,RB,Freshman,"Waunakee, Wis.",2015
Andrew Endicott,K,Junior,"Roseville, Calif.",2015
Bret Verstegen,S,Freshman,"Kimberly, Wis.",2015
John Damrow,TE,Redshirt Freshman,"Delavan, Wis.",2015
P.J. Rosowski,P,Redshirt Freshman,"Stoughton, Wis.",2015
Zach Hintze,K,Freshman,"Fond du Lac, Wis.",2015
Jesse Hayes,OLB,Redshirt Senior,"Cincinnati, Ohio",2015
Henry Houden,WR,Freshman,"Madison, Wis.",2015
T.J. Watt,OLB,Redshirt Sophomore,"Pewaukee, Wis.",2015
Ryan Connelly,ILB,Redshirt Freshman,"Eden Prairie, Minn.",2015
Peter Roy,WR,Redshirt Freshman,"Muskego, Wis.",2015
Eric Steffes,TE,Redshirt Junior,"Mount Calvary, Wis.",2015
Alec Ingold,RB,Freshman,"Green Bay, Wis.",2015
Nick Thomas,ILB,Freshman,"Bradenton, Fla.",2015
Austin Traylor,TE,Redshirt Senior,"Columbus, Ohio",2015
Vince Biegel,OLB,Redshirt Junior,"Wisconsin Rapids, Wis.",2015
Mitchell Herl,TE,Freshman,"Middleton, Wis.",2015
Jack Cichy,OLB,Redshirt Sophomore,"Somerset, Wis.",2015
Kyle Penniston,TE,Freshman,"Orange, Calif.",2015
Chris Orr,ILB,Freshman,"DeSoto, Texas",2015
Jacob Maxwell,OL,Redshirt Freshman,"Greendale, Wis.",2015
David Pfaff,DE,Freshman,"Mequon, Wis.",2015
T.J. Edwards,ILB,Redshirt Freshman,"Lake Villa, Ill.",2015
Ty DeForest,ILB,Freshman,"Marshall, Wis.",2015
Garret Dooley,OLB,Redshirt Sophomore,"Rochester, Ill.",2015
Zack Baun,OLB,Freshman,"Brown Deer, Wis.",2015
Alec James,DE,Redshirt Sophomore,"Brookfield, Wis.",2015
George Panos,OL,Redshirt Freshman,"Hartland, Wis.",2015
Joe Schobert,OLB,Senior,"Waukesha, Wis.",2015
Tyler Johnson,OLB,Freshman,"Menasha, Wis.",2015
Connor Udelhoven,LS,Redshirt Junior,"St. Paul, Minn.",2015
Tyler Marz,OL,Redshirt Senior,"Springfield, Minn.",2015
Walker Williams,OL,Redshirt Junior,"Tacoma, Wash.",2015
Michael Deiter,OL,Redshirt Freshman,"Curtice, Ohio",2015
Brett Connors,OL,Redshirt Freshman,"New Berlin, Wis.",2015
Ryan Ramczyk,OL,Junior,"Stevens Point, Wis.",2015
Olive Sagapolu,NT,Freshman,"Pago Pago, American Samoa",2015
Beau Benzschawel,OL,Redshirt Freshman,"Grafton, Wis.",2015
Kelly Thomas,DE,Freshman,"Racine, Wis.",2015
Jon Dietzen,OL,Freshman,"Black Creek, Wis.",2015
David Moorman,OL,Freshman,"Northville, Mich.",2015
Aidan McNamara,OL,Redshirt Sophomore,"Madison, Wis.",2015
Dan Voltz,OL,Redshirt Junior,"Barrington, Ill.",2015
Ray Ball,OL,Redshirt Senior,"Columbus, Ohio",2015
Kevin Estes,OL,Freshman,"San Marcos, Calif.",2015
Hayden Biegel,OL,Redshirt Sophomore,"Wisconsin Rapids, Wis.",2015
